model,Afrikaans,Arabic,English,French,German,Hebrew,Indonesian,Italian,Japanese,Korean,Spanish,Turkish,Vietnamese
jwhj/Qwen2.5-Math-1.5B-OREO,0.38390113988645985,0.4079577933000056,0.9304221619790183,0.8254637761746662,0.667332512470545,0.5313482323291319,0.7973066039062691,0.7661011956091666,0.6985396193441411,0.18322338974731392,0.7509289852063299,0.6636113709294899,0.5485249178280608
nvidia/AceMath-1.5B-Instruct,0.0005725722525969038,0.0,0.9948440564936518,0.012882860788751664,0.002003998809627451,0.0,0.0020040073056620347,0.09103893417833964,0.004008008999972342,0.0011451456555548274,0.018035991648776447,0.013741732787406735,0.001717720057995032
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.09650081460674423,0.31033439074654173,0.9999970454110336,0.5327779567767325,0.5694226898092882,0.015459485587620272,0.3472650863681832,0.5270523575571274,0.5777266055327474,0.0037217271836594923,0.6332639806791357,0.5777256592916393,0.5636982364994929
Qwen/Qwen2.5-Math-1.5B-Instruct,0.0,0.0,0.9954166136638931,0.05296289709382772,0.005019318206263457,0.0,0.004007998139240706,0.053249151808808126,0.0,0.003721731217845734,0.005725719769082721,0.006012010404476109,0.003149148440821622
PRIME-RL/Eurus-2-7B-PRIME,0.0,0.0,0.9999971357116315,0.0005725733721714032,0.0,0.0,0.0,0.008588588935072885,0.0,0.0,0.004007997753776261,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.23793869792330893,0.26853665011678346,0.9997107430535201,0.5894627154406719,0.6106479770173119,0.11565985383021,0.5324921188590817,0.5127380593141755,0.4617805283632841,0.15316333433052715,0.5187497444384042,0.6358418823073617,0.6183790514987026
nvidia/AceMath-7B-Instruct,0.022043998794839363,0.014886886122962158,0.7855689083201445,0.08617204634885775,0.1448607029967843,0.00400801585119247,0.1442881798306404,0.03807602964896484,0.16604633295100898,0.023761790609650467,0.1299736928665987,0.08016016102810013,0.0375035432259067
Qwen/Qwen2.5-Math-7B-Instruct,0.0,0.0,0.9811022798214412,0.005739481775126271,0.0,0.0,0.028914880667332058,0.010020012175903864,0.0040080090408453695,0.009447463903141237,0.0,0.004008006939468571,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0.3415389599616165,0.6292574931432535,0.9999970083588327,0.541939134762433,0.4866861502305499,0.35785855607408523,0.4975652071326876,0.47008143692297993,0.41339808082675766,0.432292738993221,0.520753700300933,0.6032052606488948,0.5533919363138705
o3-mini,0.1511588282017898,0.11823627215228394,0.08016006008679567,0.13208507400388234,0.14486068055100976,0.12797020951982155,0.14858244295335965,0.14064268572368968,0.14428852214178808,0.1130831814780025,0.12911486820923507,0.12338940428223234,0.12711124030173224
