model,Afrikaans,Albanian,Arabic,Bengali,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Indonesian,Italian,Japanese,Kannada,Korean,Latvian,Lithuanian,Macedonian,Malayalam,Marathi,Nepali,Norwegian,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Slovak,Slovenian,Somali,Spanish,Swahili,Swedish,Tagalog,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Vietnamese,Welsh
jwhj/Qwen2.5-Math-1.5B-OREO,0.34285562323878555,0.8380941882939169,0.6333324202412906,0.33333326553099746,0.5380931835093121,0.7571400050344738,0.75273025770028,0.8593866425453061,0.6037441183582021,0.6105826443275079,0.890473706344044,0.8904731354602404,0.9333307487039696,0.8428541176211458,0.8809495275972207,0.8428570487375489,0.4666666617523934,0.7190474916348876,0.6047608965228608,0.9666649844841243,0.8952357003428635,0.8904733631931976,0.6809520940877719,0.06666666664501548,0.07619039766741606,0.8666647044354968,0.8619027637419724,0.3482467658775109,0.3999999958918529,0.3714277607391942,0.10952355669461687,0.3887178129220538,0.4238086633744818,0.8952362349334461,0.4828001315857443,0.2333332927603429,0.9333309386249922,0.25714232755501387,0.8571466691381633,0.9238056517221989,0.10476175486140833,0.6523786005642412,0.2857135160516034,0.8999974180852185,0.5047606422680241,0.06666666665890211,0.13333333174444245,0.542856793933565,0.8904743709789302,0.4952373952419586,0.3666663385747745,0.6761895586315465,0.7333320575183845
nvidia/AceMath-1.5B-Instruct,0.0,0.03333333152113831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999971520433006,0.0,0.02857126347351851,0.0,0.0,0.0,0.0,0.0,0.0,0.004761909384547113,0.0,0.0,0.0,0.0,0.0,0.03809507011979094,0.028571387123489646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428573006237011,0.0,0.0,0.0,0.0,0.014285751839644516,0.0,0.0,0.0,0.0,0.0,0.00476190422219454,0.0,0.028571380620138687,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.03333325980900557,0.06666653010021317,0.33333268976940145,0.0,0.6999980260258304,0.06666635380797466,0.29999906435981666,0.2761897938694654,0.0,0.16666590005007004,0.9999969670449927,0.10952346213388754,0.26666594924992154,0.23333236402400367,0.1999993461942065,0.09999999988143299,0.0,0.0,0.03333324292487769,0.4999991161118201,0.03333321275864866,0.2666657160442433,0.2857140736529912,0.0,0.0,0.35714221445761096,0.07619031200659908,0.404760401631384,0.014285664096914279,0.09999961618564186,0.0,0.021505074009624512,0.23809470333942356,0.3666659687431395,0.3333321703072432,0.0,0.13333287639455077,0.5047607281940706,0.31904633311398545,0.36666497101082385,0.0,0.26666540260780003,0.033333257974143556,0.23333266671700575,0.014285692801024544,0.0,0.033333320599655,0.2523808817672497,0.4666659040251455,0.5999989646627188,0.4999994889690367,0.26666635852081694,0.0666665975564501
Qwen/Qwen2.5-Math-1.5B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666628816186786,0.0,0.0,0.9999972856440732,0.0,0.028571290669533195,0.0,0.03333321054649928,0.03333333333333319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571305438901955,0.0,0.0,0.0,0.0,0.0,0.0,0.03333327318262041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285680483050645
PRIME-RL/Eurus-2-7B-PRIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999971999271948,0.0,0.014285651062491264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333312665542201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019047579146118186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.033333116248512096,0.12380933134299725,0.033333235470493404,0.0,0.13333301327935806,0.0,0.0,0.033333209798479424,0.0,0.0,0.9999968307083581,0.2333325795294567,0.2333327493924492,0.03333317965791046,0.0,0.19999999851539235,0.03333333328318766,0.0,0.0,0.1333331611875896,0.0,0.0,0.09523804231720162,0.19999997798589625,0.0,0.19999953019325806,0.08095222522294548,0.047618910467100865,0.09999999992298056,0.06666649243368933,0.03333330659809157,0.0,0.29999933159791964,0.06666657950750039,0.0,0.0,0.06666663898382678,0.1999993157378136,0.0,0.1333326958331188,0.0,0.0,0.13333304672632498,0.09999968767963559,0.13333294464516118,0.0,0.16666666567884275,0.09999999867205617,0.16666631093701972,0.03333327314376806,0.03333329123481348,0.0,0.23333302661483313
nvidia/AceMath-7B-Instruct,0.0,0.004761934251721426,0.0,0.0,0.0,0.0,0.019047545660834383,0.0,0.03333320951325388,0.0,0.8333307809399009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333324441278034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333277445175,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-Math-7B-Instruct,0.0,0.014285681388351512,0.0,0.03333333216509556,0.0,0.0,0.004762029239019651,0.0,0.0,0.0,0.952375969827693,0.0,0.0,0.05728329948945518,0.0,0.0,0.0,0.0,0.0,0.0,0.1333327420886682,0.014285677781689942,0.0,0.0952380618016293,0.00476188601614186,0.0,0.0,0.0,0.03333328152731587,0.0,0.0,0.0,0.0,0.09999985667595407,0.0,0.0,0.023799244244014153,0.0,0.0,0.0,0.03333329778789805,0.0,0.03333327315656188,0.0,0.0,0.03333333235565109,0.06666666093939391,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0.0,0.033333329481742884,0.16666642767678364,0.299999994576927,0.43333165124285267,0.033333204706396426,0.0,0.0,0.03333317647579835,0.0,0.9999969401621893,0.0,0.033333191724569416,0.0,0.03333317179053784,0.0,0.09999999986620309,0.03333333333315805,0.5666652737520468,0.0666665538721187,0.0,0.0,0.0047619252109035925,0.0,0.09999988228251942,0.1333330630329502,0.06666656056816206,0.16666613567728045,0.03333333280460911,0.13333299588706274,0.23333265743741963,0.0,0.8999978750958675,0.0,0.03333324777286109,0.1666666663463293,0.0,0.6999980808240408,0.0,0.0,0.0,0.06666644672086043,0.06666648376687086,0.03333324848912877,0.0,0.03333333332981764,0.3666666645272268,0.06666666041108096,0.26666630465463453,0.133333068736739,0.19999969346559343,0.009523827957897472,0.0
o3-mini,0.2904751163740621,0.2333330738303673,0.23333289009795413,0.16666663187329744,0.19999934269124842,0.19999916190739953,0.19999914527758741,0.13333282090634668,0.16666583624941592,0.1619042357248783,0.13333296597639524,0.23333259755732028,0.1619043852211534,0.16190448802227644,0.23333260534408387,0.09999999983859874,0.23333328908297243,0.13333329850750153,0.16666641690431933,0.06666654985399847,0.23333279413340424,0.2904750616987569,0.13333329918503975,0.23333333257354963,0.16666647001271526,0.19999954758542035,0.214285183432571,0.1666662546671158,0.1333333132408393,0.2999991946084085,0.1666661277288917,0.684571742634143,0.2666661083767984,0.13333309067167184,0.23333249576901993,0.1666666627058608,0.1999996123509216,0.16666610279218158,0.2523798843477378,0.35237947261962443,0.26666605990603676,0.28571325639911727,0.3333324392978167,0.0666664097462052,0.13333296883840065,0.1666666640696935,0.23333330249483097,0.16666663693687372,0.09999978401916627,0.09999992878107225,0.19999971807417755,0.13333315928021297,0.16666630817852512
